treatment: wet (baseline)
timestamp, Vin, d6_bottom, d6_top, d7_bottom, d7_top, d10_bottom, d10_top, d11_bottom, d11_top
2019/10/24 15:58:25,4.924,26.310,25.808,25.563,24.608,25.311,25.223,25.685,24.622
2019/10/24 15:58:56,4.924,26.464,26.099,25.699,24.632,25.619,25.773,25.815,24.957
2019/10/24 15:59:26,4.924,26.654,26.225,25.882,24.912,25.962,25.710,25.976,24.964
2019/10/24 15:59:56,4.924,26.716,26.290,25.992,24.886,25.908,25.838,26.062,25.078
2019/10/24 16:0:26,4.924,26.749,26.320,26.103,25.094,25.689,25.465,26.096,24.719
2019/10/24 16:0:56,4.924,26.702,26.287,26.104,24.907,25.747,25.743,26.129,25.012
2019/10/24 16:1:27,4.924,26.364,26.017,25.631,24.721,25.873,25.502,25.834,24.613
2019/10/24 16:1:57,4.924,26.122,25.796,25.495,24.456,25.288,25.463,25.565,24.585
2019/10/24 16:2:27,4.924,25.899,25.580,25.192,24.499,25.437,24.996,25.395,24.038
2019/10/24 16:2:57,4.924,25.882,25.556,25.206,24.485,25.479,24.964,25.395,23.986
2019/10/24 16:3:28,4.924,25.819,25.423,25.104,24.091,25.384,25.234,25.360,24.391
2019/10/24 16:3:58,4.924,26.043,25.591,25.244,24.398,25.493,25.381,25.398,24.562
2019/10/24 16:4:28,4.924,26.027,25.610,25.428,24.285,25.082,25.187,25.477,24.672
2019/10/24 16:4:58,4.924,26.147,25.649,25.498,24.501,25.061,24.977,25.498,24.505
2019/10/24 16:5:29,4.924,26.164,25.687,25.446,24.637,25.428,24.728,25.512,24.320
2019/10/24 16:5:59,4.924,26.010,25.505,25.344,24.148,25.194,24.935,25.407,24.445
2019/10/24 16:6:29,4.924,25.871,25.346,25.139,24.017,25.153,24.929,25.269,24.380
2019/10/24 16:6:59,4.924,25.940,25.362,25.194,24.096,24.795,24.984,25.274,24.431
2019/10/24 16:7:30,4.924,26.010,25.477,25.232,24.218,24.840,24.742,25.337,24.187
2019/10/24 16:8:0,4.924,25.899,25.384,25.209,24.255,25.206,24.517,25.409,23.906
2019/10/24 16:8:30,4.924,25.747,25.225,25.047,23.796,25.285,24.679,25.365,24.124
2019/10/24 16:9:0,4.924,25.947,25.491,25.152,24.044,25.288,24.931,25.498,24.313
2019/10/24 16:9:31,4.926,25.953,25.462,25.253,24.204,24.840,24.595,25.371,24.078
2019/10/24 16:10:1,4.924,25.691,25.285,24.980,23.806,24.658,24.753,25.138,24.215
2019/10/24 16:10:31,4.924,25.694,25.229,24.977,23.848,24.749,24.690,25.159,24.096
2019/10/24 16:11:1,4.924,25.656,25.190,24.861,24.002,25.176,24.442,25.127,23.813
2019/10/24 16:11:32,4.924,25.589,25.124,24.861,23.806,24.637,24.603,24.994,24.047
2019/10/24 16:12:2,4.924,25.582,25.162,24.774,23.757,25.117,24.805,25.054,24.141
2019/10/24 16:12:32,4.924,25.523,25.022,24.868,23.970,24.540,24.257,25.040,23.796
2019/10/24 16:13:2,4.924,25.461,24.965,24.839,23.979,24.769,24.157,25.052,23.812
2019/10/24 16:13:33,4.924,25.411,24.914,24.844,23.953,24.767,24.075,25.064,23.775
2019/10/24 16:14:3,4.924,25.474,24.963,24.854,23.998,24.735,24.092,25.106,23.806
2019/10/24 16:14:33,4.924,25.484,24.966,24.924,23.967,24.603,24.180,25.127,23.859
2019/10/24 16:15:3,4.924,25.554,25.029,24.910,23.873,25.145,24.382,25.127,24.026
2019/10/24 16:15:34,4.924,25.757,25.239,25.113,23.977,24.669,24.456,25.229,24.194
2019/10/24 16:16:4,4.924,25.626,25.129,24.895,24.028,25.115,24.063,25.076,23.833
2019/10/24 16:16:34,4.924,25.446,24.984,24.826,23.813,24.547,24.176,24.980,23.918
2019/10/24 16:17:4,4.924,25.379,24.914,24.746,23.869,24.501,24.012,24.903,23.726
2019/10/24 16:17:35,4.924,25.134,24.672,24.386,23.607,24.250,23.932,24.550,23.523
2019/10/24 16:18:5,4.924,25.036,24.644,24.285,23.272,24.452,24.340,24.466,23.649
2019/10/24 16:18:35,4.924,24.966,24.487,24.225,23.464,24.477,23.701,24.403,23.248
2019/10/24 16:19:5,4.924,24.763,24.309,24.009,23.314,24.243,23.607,24.229,23.087
2019/10/24 16:19:36,4.924,24.620,24.075,23.953,23.199,23.799,23.468,24.141,23.098
2019/10/24 16:20:6,4.924,24.556,24.168,23.962,22.939,23.801,23.801,24.133,23.344
2019/10/24 16:20:36,4.924,24.618,24.224,24.042,23.009,23.808,23.812,24.231,23.407
2019/10/24 16:21:6,4.924,24.756,24.330,24.058,23.248,24.410,24.023,24.431,23.555
2019/10/24 16:21:37,4.924,24.833,24.410,24.155,23.387,24.445,23.719,24.459,23.181
2019/10/24 16:22:7,4.924,24.956,24.491,24.246,23.506,24.561,23.708,24.512,23.359
2019/10/24 16:22:37,4.924,24.917,24.501,24.204,23.195,24.603,23.977,24.487,23.590
2019/10/24 16:23:7,4.924,24.723,24.199,24.111,23.291,23.773,23.295,24.202,23.166
2019/10/24 16:23:38,4.924,24.409,23.902,23.777,23.065,23.560,23.138,23.920,22.918
2019/10/24 16:24:8,4.924,24.314,23.871,23.599,22.768,24.140,23.156,23.962,22.953
2019/10/24 16:24:38,4.924,24.325,23.867,23.700,22.573,23.829,23.400,23.909,23.082
2019/10/24 16:25:8,4.926,24.322,23.836,23.624,22.511,23.983,23.407,23.861,22.982
2019/10/24 16:25:38,4.924,24.377,23.955,23.738,22.569,23.752,23.494,23.913,23.117
2019/10/24 16:26:9,4.924,24.229,23.733,23.607,22.805,23.342,23.073,23.747,22.655
2019/10/24 16:26:39,4.924,24.280,23.867,23.606,22.552,23.895,23.574,23.850,23.086
2019/10/24 16:27:9,4.924,24.000,23.490,23.274,22.472,23.386,22.688,23.539,22.339
2019/10/24 16:27:39,4.924,24.101,23.766,23.260,22.294,23.477,23.215,23.470,22.719
2019/10/24 16:28:10,4.925,23.981,23.538,23.276,22.345,22.934,22.638,23.485,22.432
2019/10/24 16:28:40,4.924,23.937,23.470,23.117,22.364,23.581,22.447,23.449,22.276
