treatment: dry
timestamp, Vin, w6_bottom, w6_top, w7_bottom, w7_top, w10_bottom, w10_top, w11_bottom, w11_top
2019/11/26 15:26:2,4.528,23.751,23.128,22.787,23.147,22.233,22.893,22.768,23.929
2019/11/26 15:27:2,4.527,24.797,24.132,23.547,24.037,23.167,23.790,23.456,24.698
2019/11/26 15:28:3,4.532,25.421,24.812,24.095,24.653,23.647,24.311,24.030,25.242
2019/11/26 15:29:3,4.531,25.646,25.102,24.509,24.996,23.917,24.494,24.357,25.513
2019/11/26 15:30:3,4.592,25.286,25.053,24.251,24.813,23.907,24.210,24.191,25.196
2019/11/26 15:31:3,4.534,23.373,23.332,22.801,23.256,22.434,22.794,23.154,23.623
2019/11/26 15:32:3,4.533,23.228,23.084,22.519,22.803,22.220,22.352,22.504,23.372
2019/11/26 15:33:4,4.535,24.286,23.736,23.247,23.570,22.929,23.323,23.122,24.176
2019/11/26 15:34:4,4.532,24.756,24.125,23.606,24.080,23.325,23.640,23.499,24.604
2019/11/26 15:35:4,4.532,25.095,24.488,23.884,24.461,23.645,23.979,23.805,24.913
2019/11/26 15:36:4,4.536,24.564,24.105,23.358,23.949,23.161,23.514,23.377,24.363
2019/11/26 15:37:5,4.532,25.351,24.834,24.132,24.697,23.942,24.238,24.113,25.070
2019/11/26 15:38:5,4.511,25.159,24.792,24.098,24.658,23.873,24.079,24.079,24.960
2019/11/26 15:39:5,4.507,22.830,22.795,22.258,22.723,21.934,22.182,22.853,22.990
2019/11/26 15:40:5,4.511,23.423,23.004,22.525,22.833,22.151,22.479,22.532,23.328
2019/11/26 15:41:6,4.520,24.328,23.632,23.138,23.563,22.811,23.320,23.134,24.100
2019/11/26 15:42:6,4.519,24.744,23.997,23.484,23.309,22.514,22.948,22.834,23.769
2019/11/26 15:43:6,4.524,25.063,24.363,23.853,24.344,23.443,23.910,23.796,24.796
2019/11/26 15:44:6,4.524,25.285,24.524,24.026,24.512,23.665,24.048,23.999,24.927
2019/11/26 15:45:7,4.522,25.339,24.630,24.105,24.657,23.801,24.098,24.071,25.038
2019/11/26 15:46:7,4.526,25.304,24.741,24.163,24.692,23.871,24.209,24.167,25.042
2019/11/26 15:47:7,4.531,24.880,24.568,23.980,24.435,23.665,23.843,23.946,24.641
2019/11/26 15:48:7,4.518,22.460,22.547,21.706,22.631,21.855,22.015,21.832,21.939
2019/11/26 15:49:7,4.522,22.801,22.212,21.882,22.201,21.646,21.889,21.981,22.657
2019/11/26 15:50:8,4.528,23.717,22.920,22.616,22.935,22.286,22.704,22.594,23.478
2019/11/26 15:51:8,4.530,24.323,23.564,23.196,23.564,22.820,23.230,23.116,24.095
2019/11/26 15:52:8,4.530,24.551,23.826,23.287,23.799,23.097,23.469,23.295,24.186
2019/11/26 15:53:8,4.533,24.836,24.062,23.519,24.043,23.326,23.732,23.591,24.434
2019/11/26 15:54:9,4.533,24.751,24.189,23.541,24.121,23.366,23.700,23.628,24.455
2019/11/26 15:55:9,4.593,25.012,24.304,23.735,24.252,23.499,23.881,23.776,24.668
2019/11/26 15:56:9,4.530,25.050,24.351,23.816,24.400,23.603,23.865,23.804,24.742
2019/11/26 15:57:9,4.532,24.906,24.371,23.847,24.352,23.570,23.824,23.813,24.648
2019/11/26 15:58:10,4.516,24.555,24.132,23.595,24.082,23.386,23.462,23.568,24.269
2019/11/26 15:59:10,4.528,22.028,22.358,21.888,22.214,21.542,21.485,22.222,22.203
2019/11/26 16:0:10,4.533,23.040,22.619,22.142,22.422,21.846,22.127,22.149,22.828
2019/11/26 16:1:10,4.537,23.185,22.413,22.019,22.386,21.799,22.144,21.985,22.826
2019/11/26 16:2:11,4.539,24.216,23.466,23.004,23.432,22.796,23.171,23.020,23.799
2019/11/26 16:3:11,4.537,24.527,23.655,23.276,23.780,23.049,23.394,23.272,24.144
2019/11/26 16:4:11,4.538,24.619,23.854,23.346,23.952,23.191,23.483,23.369,24.252
2019/11/26 16:5:11,4.543,24.575,23.957,23.443,23.942,23.231,23.530,23.485,24.219
2019/11/26 16:6:11,4.541,24.599,23.939,23.387,23.955,23.285,23.489,23.413,24.186
2019/11/26 16:7:12,4.544,24.727,24.042,23.535,23.437,22.654,22.930,22.892,23.720
2019/11/26 16:8:12,4.552,24.402,23.975,23.454,23.888,23.204,23.359,23.427,24.084
2019/11/26 16:9:12,4.520,22.775,22.478,22.300,22.631,21.741,21.969,22.555,22.783
2019/11/26 16:10:12,4.531,22.813,22.389,22.085,22.313,21.710,21.922,22.093,22.601
2019/11/26 16:11:13,4.536,23.495,22.734,22.442,22.863,22.166,22.488,22.457,23.230
2019/11/26 16:12:13,4.542,24.009,23.131,22.787,23.207,22.534,22.874,22.734,23.574
2019/11/26 16:13:13,4.546,24.284,23.444,23.077,23.557,22.847,22.567,22.393,23.232
2019/11/26 16:14:13,4.546,24.369,23.594,23.170,23.673,23.000,23.257,23.159,23.919
2019/11/26 16:15:14,4.547,24.451,23.675,23.245,23.781,23.097,23.354,23.267,24.031
2019/11/26 16:16:14,4.550,24.465,23.785,23.328,23.800,23.184,23.445,23.336,24.023
2019/11/26 16:17:14,4.550,24.495,23.777,23.373,23.849,23.169,23.392,23.346,24.113
2019/11/26 16:18:14,4.551,24.497,23.756,23.337,23.794,23.156,23.409,23.333,24.051
2019/11/26 16:19:14,4.554,24.515,23.827,23.378,23.801,23.167,23.454,23.356,23.510
2019/11/26 16:20:15,4.551,24.557,23.813,23.386,23.862,23.243,23.469,23.348,24.164
2019/11/26 16:21:15,4.559,24.151,23.733,23.243,23.623,23.024,23.129,23.194,23.804
2019/11/26 16:22:15,4.558,22.160,21.847,21.712,22.172,21.749,21.742,21.983,22.273
2019/11/26 16:23:15,4.561,22.362,21.782,21.556,21.846,21.352,21.571,21.673,22.144
2019/11/26 16:24:16,4.557,23.322,22.232,22.111,22.451,21.866,22.228,22.062,22.911
2019/11/26 16:25:16,4.561,23.644,22.699,22.503,22.906,22.209,22.586,22.510,23.271
2019/11/26 16:26:16,4.616,23.925,23.013,22.667,23.124,22.469,22.838,22.715,23.422
2019/11/26 16:27:16,4.562,23.853,23.111,22.708,23.197,22.542,22.843,22.772,23.397
2019/11/26 16:28:17,4.560,23.968,23.123,22.667,23.251,22.622,22.924,22.788,23.474
2019/11/26 16:29:17,4.562,23.836,23.165,22.721,23.214,22.567,22.819,22.789,23.444
2019/11/26 16:30:17,4.558,23.875,23.087,22.722,23.219,22.594,22.786,22.733,23.427
2019/11/26 16:31:17,4.562,24.151,23.292,22.960,23.345,22.723,23.028,22.911,23.631
2019/11/26 16:32:17,4.617,24.048,23.296,22.976,23.415,22.741,23.035,22.957,23.583
2019/11/26 16:33:18,4.561,24.425,23.532,23.268,23.618,22.978,23.317,23.230,23.867
