"by15","par1_n","par2_s","pyr1_n","pyr2_s","am2320_high_temp","am2320_high_rh","sht2_low_temp","sht2_low_rh","bmp_box_temp","bmp_box_atm_p","soil_t1","soil_t2","soil_t3","soil_t4"
2019-08-30 00:15:00,-74.3362068965517,0.86551724137931,-15.3013793103448,-15.7324137931034,18.5862068965517,54.9586206896552,19.6979310344828,58.8358620689655,22.8724137931034,85230.7868965517,26.6820689655172,26.901724137931,27.6410344827586,26.8031034482759
2019-08-30 00:30:00,-44.1563333333333,-8.25266666666667,-14.6876666666667,-15.208,19.1533333333333,53.95,19.7973333333333,58.6563333333333,22.895,85225.4483333333,26.4256666666667,26.6216666666667,27.3883333333333,26.511
2019-08-30 00:45:00,-22.5362068965517,-9.34068965517242,-15.301724137931,-14.7096551724138,19.1793103448276,52.7103448275862,19.8203448275862,58.0972413793103,22.9679310344828,85221.3262068966,26.1796551724138,26.3372413793103,27.1472413793103,26.2489655172414
2019-08-30 01:00:00,7.413,-20.3313333333333,-14.324,-15.7296666666667,18.9533333333333,53.4,19.793,57.755,23.0493333333333,85244.3633333333,25.9486666666667,26.082,26.9093333333333,25.9986666666667
2019-08-30 01:15:00,29.8696551724138,-26.6003448275862,-14.1162068965517,-15.5710344827586,18.9241379310345,54.2793103448276,19.6606896551724,58.8872413793103,22.9558620689655,85243.2982758621,25.7255172413793,25.8348275862069,26.6865517241379,25.7913793103448
2019-08-30 01:30:00,-15.0020689655172,-10.6393103448276,-14.9786206896552,-14.7641379310345,19.1793103448276,52.951724137931,19.8234482758621,58.3048275862069,23.0027586206897,85229.0789655172,25.51,25.6020689655172,26.4779310344828,25.5544827586207
2019-08-30 01:45:00,-12.8103333333333,-10.525,-15.0003333333333,-14.6873333333333,18.8,54.7566666666667,19.8456666666667,58.5956666666667,22.9846666666667,85225.6776666667,25.29,25.386,26.266,25.3296666666667
2019-08-30 02:00:00,-65.1203448275862,-0.989310344827587,-15.7858620689655,-14.548275862069,18.9965517241379,54.5862068965517,19.8186206896552,58.6896551724138,22.9651724137931,85226.2834482759,25.0865517241379,25.1693103448276,26.058275862069,25.1168965517241
2019-08-30 02:15:00,67.6966666666667,-34.565,-14.064,-15.0003333333333,18.9266666666667,54.8033333333333,19.6456666666667,59.163,22.9663333333333,85216.2826666667,24.8796666666667,24.9723333333333,25.8563333333333,24.941
2019-08-30 02:30:00,-46.351724137931,-8.4748275862069,-15.5165517241379,-14.8179310344828,19.2862068965517,53.5172413793103,19.77,58.8827586206897,22.9658620689655,85219.6306896552,24.6841379310345,24.7768965517241,25.6644827586207,24.7393103448276
