"volumetric_water_content","pressure_potential_kPa"
0.421,-1.89415790733644
0.422,-1.88180296762383
0.423,-1.86966248702186
0.424,-1.85772850381188
0.425,-1.84599305627523
0.426,-1.83444818269324
0.427,-1.82308592134725
0.428,-1.81190584493517
0.429,-1.80095730557514
0.43,-1.79023611792963
0.431,-1.77972431569176
0.432,-1.76940393255465
0.433,-1.75925700221142
0.434,-1.74926555835517
0.435,-1.73941163467903
0.436,-1.72967726487612
0.437,-1.72004448263956
0.438,-1.71049532166245
0.439,-1.70101181563793
0.44,-1.6916106246885
0.441,-1.68241552663929
0.442,-1.67342255550246
0.443,-1.66461231770556
0.444,-1.65596541967615
0.445,-1.6474624678418
0.446,-1.63908406863006
0.447,-1.6308108284685
0.448,-1.62262335378466
0.449,-1.61450225100612
0.45,-1.60642812656042
0.451,-1.59838158687514
0.452,-1.59034323837783
0.453,-1.58229368749604
0.454,-1.57421354065735
0.455,-1.5660834042893
0.456,-1.55788388481946
0.457,-1.5496460239612
0.458,-1.54149695786063
0.459,-1.53343638718767
0.46,-1.52545575022016
0.461,-1.51754648523598
0.462,-1.50970003051298
0.463,-1.50190782432902
0.464,-1.49416130496197
0.465,-1.48645191068968
0.466,-1.47877107979
0.467,-1.47111025054081
0.468,-1.46346086121997
0.469,-1.45581435010532
0.47,-1.44816215547474
0.471,-1.44049571560608
0.472,-1.4328064687772
0.473,-1.42509161702849
0.474,-1.41736809881233
0.475,-1.40964239923831
0.476,-1.40191973937082
0.477,-1.39420534027425
0.478,-1.38650442301302
0.479,-1.3788222086515
0.48,-1.3711639182541
0.481,-1.36353477288521
0.482,-1.35593999360924
0.483,-1.34838480149057
0.484,-1.34087441759361
0.485,-1.33341406298275
0.486,-1.32600895872238
0.487,-1.31866432587691
0.488,-1.31138535593902
0.489,-1.30414238729206
0.49,-1.29690918695568
0.491,-1.28969033739105
0.492,-1.28249042105932
0.493,-1.27531402042166
0.494,-1.26816571793924
0.495,-1.26105009607322
0.496,-1.25397173728476
0.497,-1.24693522403502
0.498,-1.23994513878517
0.499,-1.23300606399638
0.5,-1.22612258212981
0.501,-1.21929927564662
0.502,-1.21254072700797
0.503,-1.20584233922625
0.504,-1.19917751923708
0.505,-1.19254506477278
0.506,-1.18594593466688
0.507,-1.17938108775291
0.508,-1.17285148286442
0.509,-1.16635807883493
0.51,-1.15990183449799
0.511,-1.15348370868713
0.512,-1.14710466023588
0.513,-1.14076564797779
0.514,-1.13446763074638
0.515,-1.12821156737519
0.516,-1.12199841669776
0.517,-1.11582913754763
