"by15","wind_speed_m_s","position","treatment","block"
2019-08-26 00:30:00,0.00853312357923153,"bottom","well_watered","W"
2019-08-26 00:45:00,0.00622413974262062,"bottom","well_watered","W"
2019-08-26 01:00:00,0.00357848582879837,"bottom","well_watered","W"
2019-08-26 01:15:00,0.00484012227967371,"bottom","well_watered","W"
2019-08-26 01:30:00,0.0079280485679252,"bottom","well_watered","W"
2019-08-26 01:45:00,0.00585004928993464,"bottom","well_watered","W"
2019-08-26 02:00:00,0.00439519787932651,"bottom","well_watered","W"
2019-08-26 02:15:00,0.0031358912151846,"bottom","well_watered","W"
2019-08-26 02:30:00,0.0024270742377738,"bottom","well_watered","W"
2019-08-26 02:45:00,0.00266264743285051,"bottom","well_watered","W"
2019-08-26 03:00:00,0.00289126835968327,"bottom","well_watered","W"
2019-08-26 03:15:00,0.00284970320640429,"bottom","well_watered","W"
2019-08-26 03:30:00,0.00246020524990213,"bottom","well_watered","W"
2019-08-26 03:45:00,0.00236797615603677,"bottom","well_watered","W"
2019-08-26 04:00:00,0.00173842760784052,"bottom","well_watered","W"
2019-08-26 04:15:00,0.0014163606095653,"bottom","well_watered","W"
2019-08-26 04:30:00,0.000752280680095446,"bottom","well_watered","W"
2019-08-26 04:45:00,0.000184935824674665,"bottom","well_watered","W"
2019-08-26 05:00:00,5.55620851948813e-06,"bottom","well_watered","W"
2019-08-26 05:15:00,9.62083649990218e-06,"bottom","well_watered","W"
2019-08-26 05:30:00,0,"bottom","well_watered","W"
2019-08-26 05:45:00,4.99281295553696e-09,"bottom","well_watered","W"
2019-08-26 06:00:00,7.40605043078911e-05,"bottom","well_watered","W"
2019-08-26 06:15:00,0.000918156846318989,"bottom","well_watered","W"
2019-08-26 06:30:00,0.0011161372914209,"bottom","well_watered","W"
2019-08-26 06:45:00,0.000825335754920262,"bottom","well_watered","W"
2019-08-26 07:00:00,0.00132877095073031,"bottom","well_watered","W"
2019-08-26 07:15:00,0.000777853487099294,"bottom","well_watered","W"
2019-08-26 07:30:00,0.0174054559463607,"bottom","well_watered","W"
2019-08-26 07:45:00,0.0186590686737373,"bottom","well_watered","W"
2019-08-26 08:00:00,0.0206811809330959,"bottom","well_watered","W"
2019-08-26 08:15:00,0.0197035616937655,"bottom","well_watered","W"
2019-08-26 08:30:00,0.0303462890148141,"bottom","well_watered","W"
2019-08-26 08:45:00,0.0377297417347161,"bottom","well_watered","W"
2019-08-26 09:00:00,0.0297559338512517,"bottom","well_watered","W"
2019-08-26 09:15:00,0.0317958485766809,"bottom","well_watered","W"
2019-08-26 09:30:00,0.03349236268411,"bottom","well_watered","W"
2019-08-26 09:45:00,0.0312407590374228,"bottom","well_watered","W"
2019-08-26 10:00:00,0.0248637372201104,"bottom","well_watered","W"
2019-08-26 10:15:00,0.026721417304567,"bottom","well_watered","W"
